MeasurementID,DateID,TimeID,Datetime,ReadingID,CO_Concentration,NMHC_Concentration,Benzene_Concentration,NOx_Concentration,NO2_Concentration,Temperature,Relative_Humidity,Absolute_Humidity,Day,Month,Year,Hour,PT08_S1,PT08_S2,PT08_S3,PT08_S4,PT08_S5,Category
1,1,1,10/03/2004 18:00,1,2.6,150,11.9,166,113,13.6,48.9,0.7578,10,3,2004,18,1360,1046,1056,1692,1268,Mid
2,2,2,10/03/2004 19:00,2,2.0,112,9.4,103,92,13.3,47.7,0.7255,10,3,2004,19,1292,955,1174,1559,972,Mid
3,3,3,10/03/2004 20:00,3,2.2,88,9.0,131,114,11.9,54.0,0.7502,10,3,2004,20,1402,939,1140,1555,1074,Mid
4,4,4,10/03/2004 21:00,4,2.2,80,9.2,172,122,11.0,60.0,0.7867,10,3,2004,21,1376,948,1092,1584,1203,Mid
5,5,5,10/03/2004 22:00,5,1.6,51,6.5,131,116,11.2,59.6,0.7888,10,3,2004,22,1272,836,1205,1490,1110,Mid
6,6,6,10/03/2004 23:00,6,1.2,38,4.7,89,96,11.2,59.2,0.7848,10,3,2004,23,1197,750,1337,1393,949,Mid
7,7,7,11/03/2004 0:00,7,1.2,31,3.6,62,77,11.3,56.8,0.7603,11,3,2004,0,1185,690,1462,1333,733,Mid
8,8,8,11/03/2004 1:00,8,1.0,31,3.3,62,76,10.7,60.0,0.7702,11,3,2004,1,1136,672,1453,1333,730,Mid
9,9,9,11/03/2004 2:00,9,0.9,24,2.3,45,60,10.7,59.7,0.7648,11,3,2004,2,1094,609,1579,1276,620,Mid
12,12,12,11/03/2004 5:00,12,0.7,8,1.1,16,28,11.0,56.2,0.7366,11,3,2004,5,1066,512,1918,1182,422,Mid
13,13,13,11/03/2004 6:00,13,0.7,16,1.6,34,48,10.5,58.1,0.7353,11,3,2004,6,1052,553,1738,1221,472,Mid
14,14,14,11/03/2004 7:00,14,1.1,29,3.2,98,82,10.2,59.6,0.7417,11,3,2004,7,1144,667,1490,1339,730,Mid
15,15,15,11/03/2004 8:00,15,2.0,64,8.0,174,112,10.8,57.4,0.7408,11,3,2004,8,1333,900,1136,1517,1102,Mid
16,16,16,11/03/2004 9:00,16,2.2,87,9.5,129,101,10.5,60.6,0.7691,11,3,2004,9,1351,960,1079,1583,1028,Mid
17,17,17,11/03/2004 10:00,17,1.7,77,6.3,112,98,10.8,58.4,0.7552,11,3,2004,10,1233,827,1218,1446,860,Mid
18,18,18,11/03/2004 11:00,18,1.5,43,5.0,95,92,10.5,57.9,0.7352,11,3,2004,11,1179,762,1328,1362,671,Mid
19,19,19,11/03/2004 12:00,19,1.6,61,5.2,104,95,9.5,66.8,0.7951,11,3,2004,12,1236,774,1301,1401,664,Low
20,20,20,11/03/2004 13:00,20,1.9,63,7.3,146,112,8.3,76.4,0.8393,11,3,2004,13,1286,869,1162,1537,799,Low
21,21,21,11/03/2004 14:00,21,2.9,164,11.5,207,128,8.0,81.1,0.8736,11,3,2004,14,1371,1034,983,1730,1037,Low
22,22,22,11/03/2004 15:00,22,2.2,79,8.8,184,126,8.3,79.8,0.8778,11,3,2004,15,1310,933,1082,1647,946,Low
23,23,23,11/03/2004 16:00,23,2.2,95,8.3,193,131,9.7,71.2,0.8569,11,3,2004,16,1292,912,1103,1591,957,Low
24,24,24,11/03/2004 17:00,24,2.9,150,11.2,243,135,9.8,67.6,0.8185,11,3,2004,17,1383,1020,1008,1719,1104,Low
25,25,25,11/03/2004 18:00,25,4.8,307,20.8,281,151,10.3,64.2,0.8065,11,3,2004,18,1581,1319,799,2083,1409,Mid
26,26,26,11/03/2004 19:00,26,6.9,461,27.4,383,172,9.7,69.3,0.8319,11,3,2004,19,1776,1488,702,2333,1704,Low
27,27,27,11/03/2004 20:00,27,6.1,401,24.0,351,165,9.6,67.8,0.8133,11,3,2004,20,1640,1404,743,2191,1654,Low
28,28,28,11/03/2004 21:00,28,3.9,197,12.8,240,136,9.1,64.0,0.7419,11,3,2004,21,1313,1076,957,1707,1285,Low
29,29,29,11/03/2004 22:00,29,1.5,61,4.7,94,85,8.2,63.4,0.6905,11,3,2004,22,965,749,1325,1333,821,Low
30,30,30,11/03/2004 23:00,30,1.0,26,2.6,47,53,8.2,60.8,0.6657,11,3,2004,23,913,629,1565,1252,552,Low
31,31,31,12/03/2004 0:00,31,1.7,55,5.9,122,97,8.3,58.5,0.6438,12,3,2004,0,1080,805,1254,1375,816,Low
32,32,32,12/03/2004 1:00,32,1.9,53,6.4,133,110,7.7,59.7,0.6308,12,3,2004,1,1044,829,1247,1378,832,Low
33,33,33,12/03/2004 2:00,33,1.4,40,4.1,82,91,7.1,61.8,0.6276,12,3,2004,2,988,718,1396,1304,692,Low
36,36,36,12/03/2004 5:00,36,0.6,7,1.0,30,44,6.3,65.0,0.6233,12,3,2004,5,847,501,1895,1155,394,Low
37,37,37,12/03/2004 6:00,37,0.8,17,1.8,56,71,6.8,62.9,0.6234,12,3,2004,6,927,571,1685,1223,487,Low
38,38,38,12/03/2004 7:00,38,1.4,33,4.4,109,104,6.4,65.1,0.6316,12,3,2004,7,1091,730,1387,1361,748,Low
39,39,39,12/03/2004 8:00,39,4.4,202,17.9,307,141,7.3,63.1,0.6499,12,3,2004,8,1587,1236,897,1900,1400,Low
41,41,41,12/03/2004 10:00,41,3.1,208,14.0,187,122,13.2,41.7,0.632,12,3,2004,10,1350,1118,912,1712,1237,Mid
42,42,42,12/03/2004 11:00,42,2.7,166,11.6,216,143,14.3,38.4,0.6243,12,3,2004,11,1263,1037,969,1598,1167,Mid
43,43,43,12/03/2004 12:00,43,2.1,114,10.2,143,113,15.0,36.5,0.6195,12,3,2004,12,1206,986,1035,1537,959,Mid
44,44,44,12/03/2004 13:00,44,2.5,140,11.0,160,116,16.1,34.5,0.6262,12,3,2004,13,1252,1016,1008,1593,983,Mid
45,45,45,12/03/2004 14:00,45,2.7,169,12.8,163,123,16.3,35.7,0.656,12,3,2004,14,1287,1078,949,1660,1061,Mid
46,46,46,12/03/2004 15:00,46,2.9,185,14.2,190,126,15.8,37.0,0.661,12,3,2004,15,1353,1122,922,1740,1139,Mid
47,47,47,12/03/2004 16:00,47,2.8,165,12.7,178,120,15.9,37.2,0.6657,12,3,2004,16,1309,1073,954,1657,1112,Mid
48,48,48,12/03/2004 17:00,48,2.4,133,11.7,150,119,16.9,34.3,0.6549,12,3,2004,17,1274,1041,1006,1610,994,Mid
49,49,49,12/03/2004 18:00,49,3.9,233,19.3,206,149,15.1,39.6,0.6766,12,3,2004,18,1510,1277,812,1910,1410,Mid
50,50,50,12/03/2004 19:00,50,3.7,242,18.2,202,145,14.4,43.4,0.7084,12,3,2004,19,1525,1246,821,1847,1448,Mid
51,51,51,12/03/2004 20:00,51,6.6,488,32.6,340,170,12.9,50.5,0.7478,12,3,2004,20,1843,1610,624,2390,1887,Mid
52,52,52,12/03/2004 21:00,52,4.4,333,20.1,274,149,12.1,53.3,0.7536,12,3,2004,21,1598,1299,752,1941,1627,Mid
53,53,53,12/03/2004 22:00,53,3.5,215,14.3,253,139,11.0,59.1,0.774,12,3,2004,22,1484,1127,839,1723,1491,Mid
54,54,54,12/03/2004 23:00,54,5.4,367,21.8,300,134,9.7,64.6,0.7771,12,3,2004,23,1677,1346,741,2062,1657,Low
55,55,55,13/03/2004 0:00,55,2.7,122,9.6,193,113,9.5,64.1,0.7597,13,3,2004,0,1280,964,963,1544,1285,Low
56,56,56,13/03/2004 1:00,56,1.9,67,7.4,139,97,9.1,63.9,0.7423,13,3,2004,1,1196,873,1071,1463,1144,Low
57,57,57,13/03/2004 2:00,57,1.6,43,5.4,83,82,8.8,63.9,0.7256,13,3,2004,2,1184,782,1176,1365,1043,Low
60,60,60,13/03/2004 5:00,60,1.0,30,2.6,62,65,8.3,63.6,0.6982,13,3,2004,5,978,625,1420,1274,819,Low
61,61,61,13/03/2004 6:00,61,1.2,27,2.9,53,60,7.2,67.5,0.6887,13,3,2004,6,1100,646,1406,1268,835,Low
62,62,62,13/03/2004 7:00,62,1.5,47,5.1,139,77,6.3,71.9,0.6932,13,3,2004,7,1112,770,1228,1409,940,Low
63,63,63,13/03/2004 8:00,63,2.7,132,11.8,256,96,6.5,71.6,0.6945,13,3,2004,8,1336,1043,935,1678,1192,Low
