MeasurementID,DateID,TimeID,Datetime,ReadingID,CO_Concentration,NMHC_Concentration,Benzene_Concentration,NOx_Concentration,NO2_Concentration,Temperature,Relative_Humidity,Absolute_Humidity,Day,Month,Year,Hour,Minute,Second,PT08_S1,PT08_S2,PT08_S3,PT08_S4,PT08_S5
1,1,1,10/03/2004 18:00,1,2.6,150,11.9,166,113,13.6,48.9,0.7578,10,3,2004,18,0,0,1360,1046,1056,1692,1268
2,2,2,10/03/2004 19:00,2,2,112,9.4,103,92,13.3,47.7,0.7255,10,3,2004,19,0,0,1292,955,1174,1559,972
3,3,3,10/03/2004 20:00,3,2.2,88,9,131,114,11.9,54,0.7502,10,3,2004,20,0,0,1402,939,1140,1555,1074
4,4,4,10/03/2004 21:00,4,2.2,80,9.2,172,122,11,60,0.7867,10,3,2004,21,0,0,1376,948,1092,1584,1203
5,5,5,10/03/2004 22:00,5,1.6,51,6.5,131,116,11.2,59.6,0.7888,10,3,2004,22,0,0,1272,836,1205,1490,1110
6,6,6,10/03/2004 23:00,6,1.2,38,4.7,89,96,11.2,59.2,0.7848,10,3,2004,23,0,0,1197,750,1337,1393,949
7,7,7,11/03/2004 0:00,7,1.2,31,3.6,62,77,11.3,56.8,0.7603,11,3,2004,0,0,0,1185,690,1462,1333,733
8,8,8,11/03/2004 1:00,8,1,31,3.3,62,76,10.7,60,0.7702,11,3,2004,1,0,0,1136,672,1453,1333,730
9,9,9,11/03/2004 2:00,9,0.9,24,2.3,45,60,10.7,59.7,0.7648,11,3,2004,2,0,0,1094,609,1579,1276,620
10,10,10,11/03/2004 3:00,10,0.6,19,1.7,-200,-200,10.3,60.2,0.7517,11,3,2004,3,0,0,1010,561,1705,1235,501
11,11,11,11/03/2004 4:00,11,-200,14,1.3,21,34,10.1,60.5,0.7465,11,3,2004,4,0,0,1011,527,1818,1197,445
12,12,12,11/03/2004 5:00,12,0.7,8,1.1,16,28,11,56.2,0.7366,11,3,2004,5,0,0,1066,512,1918,1182,422
13,13,13,11/03/2004 6:00,13,0.7,16,1.6,34,48,10.5,58.1,0.7353,11,3,2004,6,0,0,1052,553,1738,1221,472
14,14,14,11/03/2004 7:00,14,1.1,29,3.2,98,82,10.2,59.6,0.7417,11,3,2004,7,0,0,1144,667,1490,1339,730
15,15,15,11/03/2004 8:00,15,2,64,8,174,112,10.8,57.4,0.7408,11,3,2004,8,0,0,1333,900,1136,1517,1102
16,16,16,11/03/2004 9:00,16,2.2,87,9.5,129,101,10.5,60.6,0.7691,11,3,2004,9,0,0,1351,960,1079,1583,1028
17,17,17,11/03/2004 10:00,17,1.7,77,6.3,112,98,10.8,58.4,0.7552,11,3,2004,10,0,0,1233,827,1218,1446,860
18,18,18,11/03/2004 11:00,18,1.5,43,5,95,92,10.5,57.9,0.7352,11,3,2004,11,0,0,1179,762,1328,1362,671
19,19,19,11/03/2004 12:00,19,1.6,61,5.2,104,95,9.5,66.8,0.7951,11,3,2004,12,0,0,1236,774,1301,1401,664
20,20,20,11/03/2004 13:00,20,1.9,63,7.3,146,112,8.3,76.4,0.8393,11,3,2004,13,0,0,1286,869,1162,1537,799
21,21,21,11/03/2004 14:00,21,2.9,164,11.5,207,128,8,81.1,0.8736,11,3,2004,14,0,0,1371,1034,983,1730,1037
22,22,22,11/03/2004 15:00,22,2.2,79,8.8,184,126,8.3,79.8,0.8778,11,3,2004,15,0,0,1310,933,1082,1647,946
23,23,23,11/03/2004 16:00,23,2.2,95,8.3,193,131,9.7,71.2,0.8569,11,3,2004,16,0,0,1292,912,1103,1591,957
24,24,24,11/03/2004 17:00,24,2.9,150,11.2,243,135,9.8,67.6,0.8185,11,3,2004,17,0,0,1383,1020,1008,1719,1104
25,25,25,11/03/2004 18:00,25,4.8,307,20.8,281,151,10.3,64.2,0.8065,11,3,2004,18,0,0,1581,1319,799,2083,1409
26,26,26,11/03/2004 19:00,26,6.9,461,27.4,383,172,9.7,69.3,0.8319,11,3,2004,19,0,0,1776,1488,702,2333,1704
27,27,27,11/03/2004 20:00,27,6.1,401,24,351,165,9.6,67.8,0.8133,11,3,2004,20,0,0,1640,1404,743,2191,1654
28,28,28,11/03/2004 21:00,28,3.9,197,12.8,240,136,9.1,64,0.7419,11,3,2004,21,0,0,1313,1076,957,1707,1285
29,29,29,11/03/2004 22:00,29,1.5,61,4.7,94,85,8.2,63.4,0.6905,11,3,2004,22,0,0,965,749,1325,1333,821
30,30,30,11/03/2004 23:00,30,1,26,2.6,47,53,8.2,60.8,0.6657,11,3,2004,23,0,0,913,629,1565,1252,552
31,31,31,12/03/2004 0:00,31,1.7,55,5.9,122,97,8.3,58.5,0.6438,12,3,2004,0,0,0,1080,805,1254,1375,816
32,32,32,12/03/2004 1:00,32,1.9,53,6.4,133,110,7.7,59.7,0.6308,12,3,2004,1,0,0,1044,829,1247,1378,832
33,33,33,12/03/2004 2:00,33,1.4,40,4.1,82,91,7.1,61.8,0.6276,12,3,2004,2,0,0,988,718,1396,1304,692
34,34,34,12/03/2004 3:00,34,0.8,21,1.9,-200,-200,7,62.3,0.6261,12,3,2004,3,0,0,889,574,1680,1187,512
35,35,35,12/03/2004 4:00,35,-200,10,1.1,21,32,6.1,65.9,0.6248,12,3,2004,4,0,0,831,506,1893,1134,384
36,36,36,12/03/2004 5:00,36,0.6,7,1,30,44,6.3,65,0.6233,12,3,2004,5,0,0,847,501,1895,1155,394
37,37,37,12/03/2004 6:00,37,0.8,17,1.8,56,71,6.8,62.9,0.6234,12,3,2004,6,0,0,927,571,1685,1223,487
38,38,38,12/03/2004 7:00,38,1.4,33,4.4,109,104,6.4,65.1,0.6316,12,3,2004,7,0,0,1091,730,1387,1361,748
39,39,39,12/03/2004 8:00,39,4.4,202,17.9,307,141,7.3,63.1,0.6499,12,3,2004,8,0,0,1587,1236,897,1900,1400
40,40,40,12/03/2004 9:00,40,-200,-200,22.1,-200,-200,9.2,56.2,0.6561,12,3,2004,9,0,0,1545,1353,767,2058,1588
41,41,41,12/03/2004 10:00,41,3.1,208,14,187,122,13.2,41.7,0.632,12,3,2004,10,0,0,1350,1118,912,1712,1237
42,42,42,12/03/2004 11:00,42,2.7,166,11.6,216,143,14.3,38.4,0.6243,12,3,2004,11,0,0,1263,1037,969,1598,1167
43,43,43,12/03/2004 12:00,43,2.1,114,10.2,143,113,15,36.5,0.6195,12,3,2004,12,0,0,1206,986,1035,1537,959
44,44,44,12/03/2004 13:00,44,2.5,140,11,160,116,16.1,34.5,0.6262,12,3,2004,13,0,0,1252,1016,1008,1593,983
45,45,45,12/03/2004 14:00,45,2.7,169,12.8,163,123,16.3,35.7,0.656,12,3,2004,14,0,0,1287,1078,949,1660,1061
46,46,46,12/03/2004 15:00,46,2.9,185,14.2,190,126,15.8,37,0.661,12,3,2004,15,0,0,1353,1122,922,1740,1139
47,47,47,12/03/2004 16:00,47,2.8,165,12.7,178,120,15.9,37.2,0.6657,12,3,2004,16,0,0,1309,1073,954,1657,1112
48,48,48,12/03/2004 17:00,48,2.4,133,11.7,150,119,16.9,34.3,0.6549,12,3,2004,17,0,0,1274,1041,1006,1610,994
49,49,49,12/03/2004 18:00,49,3.9,233,19.3,206,149,15.1,39.6,0.6766,12,3,2004,18,0,0,1510,1277,812,1910,1410
50,50,50,12/03/2004 19:00,50,3.7,242,18.2,202,145,14.4,43.4,0.7084,12,3,2004,19,0,0,1525,1246,821,1847,1448
51,51,51,12/03/2004 20:00,51,6.6,488,32.6,340,170,12.9,50.5,0.7478,12,3,2004,20,0,0,1843,1610,624,2390,1887
52,52,52,12/03/2004 21:00,52,4.4,333,20.1,274,149,12.1,53.3,0.7536,12,3,2004,21,0,0,1598,1299,752,1941,1627
53,53,53,12/03/2004 22:00,53,3.5,215,14.3,253,139,11,59.1,0.774,12,3,2004,22,0,0,1484,1127,839,1723,1491
54,54,54,12/03/2004 23:00,54,5.4,367,21.8,300,134,9.7,64.6,0.7771,12,3,2004,23,0,0,1677,1346,741,2062,1657
55,55,55,13/03/2004 0:00,55,2.7,122,9.6,193,113,9.5,64.1,0.7597,13,3,2004,0,0,0,1280,964,963,1544,1285
