MeasurementID,DateID,TimeID,ReadingID,CO_Concentration,NMHC_Concentration,Benzene_Concentration,NOx_Concentration,NO2_Concentration,Temperature,Relative_Humidity,Absolute_Humidity,Day,Month,Year,Hour,Minute,Second,PT08_S1,PT08_S2,PT08_S3,PT08_S4,PT08_S5
1,1,1,1,2.6,150.0,11.9,166.0,113.0,13.6,48.9,0.7578,10.0,3.0,2004.0,18.0,0.0,0.0,1360.0,1046.0,1056.0,1692.0,1268.0
2,2,2,2,2.0,112.0,9.4,103.0,92.0,13.3,47.7,0.7255,10.0,3.0,2004.0,19.0,0.0,0.0,1292.0,955.0,1174.0,1559.0,972.0
3,3,3,3,2.2,88.0,9.0,131.0,114.0,11.9,54.0,0.7502,10.0,3.0,2004.0,20.0,0.0,0.0,1402.0,939.0,1140.0,1555.0,1074.0
4,4,4,4,2.2,80.0,9.2,172.0,122.0,11.0,60.0,0.7867,10.0,3.0,2004.0,21.0,0.0,0.0,1376.0,948.0,1092.0,1584.0,1203.0
5,5,5,5,1.6,51.0,6.5,131.0,116.0,11.2,59.6,0.7888,10.0,3.0,2004.0,22.0,0.0,0.0,1272.0,836.0,1205.0,1490.0,1110.0
6,6,6,6,1.2,38.0,4.7,89.0,96.0,11.2,59.2,0.7848,10.0,3.0,2004.0,23.0,0.0,0.0,1197.0,750.0,1337.0,1393.0,949.0
7,7,7,7,1.2,31.0,3.6,62.0,77.0,11.3,56.8,0.7603,11.0,3.0,2004.0,0.0,0.0,0.0,1185.0,690.0,1462.0,1333.0,733.0
8,8,8,8,1.0,31.0,3.3,62.0,76.0,10.7,60.0,0.7702,11.0,3.0,2004.0,1.0,0.0,0.0,1136.0,672.0,1453.0,1333.0,730.0
9,9,9,9,0.9,24.0,2.3,45.0,60.0,10.7,59.7,0.7648,11.0,3.0,2004.0,2.0,0.0,0.0,1094.0,609.0,1579.0,1276.0,620.0
10,10,10,10,0.6,19.0,1.7,-200.0,-200.0,10.3,60.2,0.7517,11.0,3.0,2004.0,3.0,0.0,0.0,1010.0,561.0,1705.0,1235.0,501.0
11,11,11,11,-200.0,14.0,1.3,21.0,34.0,10.1,60.5,0.7465,11.0,3.0,2004.0,4.0,0.0,0.0,1011.0,527.0,1818.0,1197.0,445.0
12,12,12,12,0.7,8.0,1.1,16.0,28.0,11.0,56.2,0.7366,11.0,3.0,2004.0,5.0,0.0,0.0,1066.0,512.0,1918.0,1182.0,422.0
13,13,13,13,0.7,16.0,1.6,34.0,48.0,10.5,58.1,0.7353,11.0,3.0,2004.0,6.0,0.0,0.0,1052.0,553.0,1738.0,1221.0,472.0
14,14,14,14,1.1,29.0,3.2,98.0,82.0,10.2,59.6,0.7417,11.0,3.0,2004.0,7.0,0.0,0.0,1144.0,667.0,1490.0,1339.0,730.0
